Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,,243.3246377,250.9333333,258.173913,265.0536232,271.6391304,277.942029,284.1492754,290.8014493,298.6130435,308.1231884,319.2927536,332.1086957,347.1405797,365.0884058,386.2942029,411.2347826,439.384058,468.8014493,496.8101449,521.5768116,542.2028986,559.3478261,574.5710145,590.1811594,607.8666667,628.2318841,650.6826087,674.2,697.2275362,718.7405797,738.7826087,736.7408451,755.2253521,774.0605634,793.9394366,815.0225352,837.9309859,864.3661972,896.5366197,936.071831,982.4577465,1035.416901,1081.538889,1136.772603,1201.572973,1295.159459,1381.225333,1466.632895,1559.310526,1628.425262,1666.42901,1688.237662,1707.82987,1732.911837,1763.304558,1832.636175,1920.403524,2017.2737,,
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,,11.5005994,12.097003,12.72117882,13.35754246,13.99190809,14.62357642,15.24675325,15.84895105,16.41038961,16.92077922,17.37152847,17.76883117,18.13356643,18.49350649,18.87072927,19.27162837,19.69040959,20.12767233,20.57782218,21.03806194,21.51108891,21.9964036,22.48591409,22.96933067,23.43436563,23.87782218,24.3027972,24.72037962,25.14815185,25.5967033,26.07472527,26.57632368,27.07982018,27.55704296,27.99040959,28.36943057,28.70709291,29.03066933,29.37682318,29.77532468,30.23156843,30.73526474,31.28161838,31.85754246,32.45344655,33.07022977,33.70519481,34.33376623,34.92547453,35.45874126,35.92177822,36.32207792,36.68011988,37.02627373,37.38321678,37.75534466,38.13796204,38.52547453,,
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,,64.23052734,65.49269531,66.74949219,67.94916016,69.05552734,70.05148438,70.950625,71.78621094,72.60679688,73.44783203,74.32201172,75.21783203,76.11828125,76.99658203,77.83408203,78.61847656,79.35923828,80.08494141,80.83630859,81.63779297,82.47013672,83.30439453,84.13876953,84.97220703,85.78380859,86.63900391,87.49060547,88.07541016,88.0434375,87.17623047,85.33826172,82.68898438,79.66673828,76.88523438,74.78613281,73.52392578,72.97011719,72.93626953,73.11238281,73.26515625,73.34984375,73.42552734,73.47994141,73.51941406,73.54162109,73.5434375,73.49191406,73.32560547,72.96753906,72.3725,71.50732422,70.40960938,69.19150391,68.00984375,66.97970703,66.13802734,65.45951172,64.92048828,,
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,,40.77704595,41.17495563,41.59550385,42.02437389,42.44724906,42.87367383,43.31319266,43.75148886,44.17424571,44.56714652,44.93973575,45.30155788,45.63829619,45.935634,46.17925458,46.39617432,46.65253402,46.95819365,47.2490633,47.53993295,47.87024256,48.19562217,48.52593177,48.85624137,49.17669099,49.51193059,49.84717018,49.99014001,50.13803983,50.23170972,50.25635969,50.36481956,50.47820943,50.4190495,50.25635969,50.08873989,49.87675015,49.64011043,49.43175902,49.19941826,48.94768783,48.6394912,48.30029581,47.97665796,47.64539269,47.33821587,47.1215032,46.95901922,46.87291687,46.77468211,46.6865704,46.6438076,46.65166793,46.67867468,46.75194176,46.8083514,46.79224208,46.71950379,,
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,,4.151819377,4.269355546,4.391231916,4.518588338,4.652301622,4.793818501,4.940464708,5.088163086,5.228452433,5.356510302,5.470977641,5.574309513,5.668303376,5.756554143,5.842174485,5.924901359,6.005655414,6.092284086,6.194870671,6.31981587,6.469355546,6.641823762,6.83130206,7.029679965,7.23020605,7.433932486,7.642262166,7.848662867,8.043358176,8.222358615,8.37913196,8.519245945,8.663831653,8.841736081,9.073345024,9.367119684,9.714160456,10.09399386,10.4773345,10.84239369,11.18206927,11.50276195,11.81170539,12.12205173,12.44191144,12.77198597,13.10938185,13.45124945,13.79460763,14.13695747,14.47772907,14.81806225,15.1562911,15.49171416,15.82345463,16.15081105,16.47387111,16.79399386,,
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,,842.5925777,862.9629477,883.3333177,905.5555396,927.7777614,944.4444278,962.962946,981.4814641,999.9999823,1018.518501,1011.111093,1003.703686,996.2962787,988.8888714,981.4814641,985.1851678,988.8888714,992.5925751,996.2962787,1012.40739,1019.444426,1026.833315,1035.740722,1044.870352,1053.666648,1062.629611,1071.277759,1080.499981,1089.648129,1098.62961,1092.981462,1085.092573,1090.925907,1098.518499,1106.407388,1113.49998,1120.314795,1128.574054,1134.907387,1145.055535,1157.481461,1165.037016,1172.685164,1180.37035,1188.037016,1194.870349,1201.629608,1208.759238,1215.48146,1205.999979,1195.629609,1199.962942,1203.722201,1206.259238,1208.092571,1195.444423,1182.833312,1183.703683,,
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,,3.44222653,3.510560325,3.580902797,3.653426567,3.728304256,3.805517401,3.885051232,3.967060833,4.051736361,4.139207976,4.229428598,4.322339149,4.417911013,4.516101726,4.616836518,4.720258469,4.826227269,4.93394166,5.042388073,5.150867719,5.259019662,5.367252839,5.476608511,5.588593187,5.70429244,5.823991507,5.947411613,6.074321056,6.204297055,6.336972215,6.47230961,6.610283393,6.750530786,6.892636389,7.036220807,7.181082803,7.327109757,7.474163205,7.622141604,7.770944337,7.92046063,8.07053817,8.221012647,8.371678205,8.522390843,8.672986246,8.823445952,8.973925967,9.124693991,9.275906951,9.427632235,9.57968799,9.731723438,9.883242869,10.03390566,10.18352534,10.33218314,10.48014585,,
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,,8.890894745,9.154468339,9.424663502,9.698876903,9.975129634,10.25305929,10.53294321,10.8142576,11.09656144,11.37971666,11.66323129,11.94756046,12.23471933,12.52745204,12.82775893,13.13580988,13.45100609,13.77353729,14.10342624,14.44029521,14.78442895,15.13474457,15.48775433,15.83887899,16.18471095,16.52388115,16.85681288,17.18414659,17.50728081,17.8273184,18.143751,18.45618523,18.76602665,19.07514303,19.3846832,19.69513408,20.00553233,20.31376,20.61686871,20.91258821,21.20041708,21.48055907,21.7523571,22.01524275,22.26896211,22.51306583,22.7479371,22.97525071,23.19732716,23.41593165,23.63139813,23.84349819,24.05270826,24.25943272,24.46378847,24.66614079,24.8660385,25.06171624,,
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,,538.8790698,541.0069767,543.3255814,545.5488372,547.472093,549.0418605,550.3697674,551.7232558,553.3837209,555.572093,558.3581395,561.6627907,565.2767442,568.9395349,572.4511628,575.7744186,578.9232558,581.8674419,584.5372093,586.9627907,589.0651163,590.8883721,592.5302326,594.1790698,595.9604651,597.9232558,600.044186,602.272093,604.5511628,606.827907,609.0813953,611.3627907,613.6604651,616.0302326,618.5,621.044186,623.6906977,626.3627907,628.955814,631.4302326,633.7209302,635.872093,637.9744186,640.1953488,642.6116279,645.2953488,648.1395349,651.0372093,653.7302326,656.1186047,658.1093023,659.7674419,661.1534884,662.3837209,663.544186,664.6418605,665.6581395,666.6069767,,
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,,16.23567362,16.97931689,17.74952562,18.5601518,19.42808349,20.35559772,21.3373814,22.371537,23.45351044,24.57855787,25.74402277,26.94914611,28.18064516,29.42542694,30.66907021,31.91290323,33.15256167,34.38425047,35.59848197,36.78918406,37.95464896,39.10151803,40.24212524,41.39943074,42.58994307,43.81688805,45.07836812,46.37647059,47.71499051,49.09316888,50.5142315,51.97191651,53.44990512,54.92485769,56.37836812,57.80303605,59.19506641,60.55863378,61.89943074,63.21916509,64.52258065,65.80303605,67.03851992,68.20360531,69.28159393,70.25863378,71.15085389,71.99639469,72.84743833,73.74686907,74.70360531,75.70948767,76.7402277,77.75502846,78.72998102,79.65844402,80.54516129,81.39696395,,
